Batch_ID,Product_ID,Manufacture_Date,Label_Expiry_Date,Delivered_Date,Lead_Time_Days,Country,Shipment_Mode,Manufacturing_Site,Quantity,Weight_kg,Freight_Cost_USD
BATCH-00001,ARV-016,2025-07-11,2027-07-11,2025-08-23,9,Zambia,Truck,"Cipla, Goa, India",40900,3127.0,8109.92
BATCH-00002,ARV-021,2025-05-30,2027-05-30,2025-07-06,18,Nigeria,Air,Roche Basel,500,83.0,852.02
BATCH-00003,ARV-003,2026-03-17,2028-03-16,2026-04-19,16,Haiti,Air,"Cipla, Goa, India",7867,811.0,5915.63
BATCH-00004,ARV-020,2025-12-17,2027-12-17,2026-01-20,12,Tanzania,Air,Mylan (formerly Matrix) Nashik,4779,643.0,4142.07
BATCH-00005,ARV-003,2026-01-08,2028-01-08,2026-02-26,12,Mozambique,Air,Hetero Unit III Hyderabad IN,250000,34074.0,146734.85
BATCH-00006,HRDT-004,2025-08-19,2027-08-19,2025-09-25,19,Nigeria,Air,Chembio Diagnostics Sys. Inc.,1052,334.0,2335.9
BATCH-00007,ARV-008,2025-05-18,2027-05-18,2025-07-18,6,Haiti,Air,"Aurobindo Unit III, India",224,746.0,6036.96
BATCH-00008,ARV-001,2025-08-18,2027-08-18,2025-10-11,23,Zambia,Truck,Hetero Unit III Hyderabad IN,99366,8045.0,13511.49
BATCH-00009,ARV-008,2025-08-03,2027-08-03,2025-10-02,8,South Africa,Air,GSK Mississauga (Canada),32000,12374.0,11865.62
BATCH-00010,ARV-002,2025-08-12,2027-08-12,2025-10-02,9,Zambia,Truck,"Aurobindo Unit III, India",20000,7482.0,6801.72
BATCH-00011,ARV-007,2026-02-19,2028-02-19,2026-03-27,13,"Congo, DRC",Air,"Aurobindo Unit III, India",367,161.0,2038.97
BATCH-00012,ARV-008,2025-10-15,2027-10-15,2025-11-22,21,Rwanda,Air,Mylan (formerly Matrix) Nashik,12000,1239.0,28202.0
BATCH-00013,ARV-009,2025-05-19,2027-05-19,2025-07-20,17,Tanzania,Air,"Cipla, Goa, India",2448,178.0,1854.35
BATCH-00014,ARV-004,2025-02-20,2027-02-20,2025-04-01,17,Zambia,Air,"Aurobindo Unit III, India",6597,617.0,2891.6
BATCH-00015,ARV-006,2025-06-04,2027-06-04,2025-07-09,17,Rwanda,Air,Hetero Unit III Hyderabad IN,10350,582.0,2990.64
BATCH-00016,HRDT-011,2025-11-16,2027-11-16,2026-01-29,18,South Sudan,Air,"Alere Medical Co., Ltd.",214,97.0,2590.24
BATCH-00017,HRDT-002,2025-05-07,2027-05-07,2025-06-20,13,Namibia,Air,"Trinity Biotech, Plc",750,265.0,2906.31
BATCH-00018,ARV-005,2026-03-22,2028-03-21,2026-04-05,7,Vietnam,Air,ABBVIE Ludwigshafen Germany,2000,499.0,1467.82
BATCH-00019,ARV-014,2025-11-14,2027-11-14,2026-01-04,19,Haiti,Air,"Aurobindo Unit III, India",384,30.0,1119.09
BATCH-00020,HRDT-002,2025-10-14,2027-10-14,2025-11-25,12,Mozambique,Air,"Trinity Biotech, Plc",7500,2440.0,37115.71
BATCH-00021,ARV-019,2025-12-11,2027-12-11,2026-02-14,13,Côte d'Ivoire,Air,ABBVIE Ludwigshafen Germany,3000,387.0,6020.48
BATCH-00022,ARV-001,2025-09-21,2027-09-21,2025-11-15,11,Rwanda,Air,"Aurobindo Unit III, India",487,66.0,585.42
BATCH-00023,HRDT-001,2025-05-29,2027-05-29,2025-06-21,8,Zimbabwe,Air,Inverness Japan,1000,324.0,3791.81
BATCH-00024,ARV-002,2025-12-16,2027-12-16,2026-01-27,29,Zimbabwe,Truck,"Strides, Bangalore, India.",23090,394.0,11133.66
BATCH-00025,ARV-007,2025-04-22,2027-04-22,2025-06-17,18,Nigeria,Air,Hetero Unit III Hyderabad IN,28,2.0,675.47
BATCH-00026,ARV-016,2025-06-28,2027-06-28,2025-07-27,22,Mozambique,Truck,"Strides, Bangalore, India.",24880,1401.0,4764.16
BATCH-00027,ARV-010,2026-02-15,2028-02-15,2026-03-16,7,Zimbabwe,Air Charter,"Cipla, Kurkumbh, India",25811,2829.0,24936.5
BATCH-00028,ARV-006,2025-02-20,2027-02-20,2025-03-22,18,Rwanda,Air,"Ranbaxy, Paonta Shahib, India",3150,165.0,2559.28
BATCH-00029,ARV-004,2026-03-13,2028-03-12,2026-04-08,20,Zimbabwe,Truck,"Cipla, Goa, India",10893,735.0,6331.93
BATCH-00030,HRDT-005,2025-03-01,2027-03-01,2025-05-07,12,Tanzania,Air,"Standard Diagnostics, Korea",10000,3112.0,22856.02
BATCH-00031,ARV-005,2025-05-26,2027-05-26,2025-06-16,12,Guyana,Air,ABBVIE Ludwigshafen Germany,2733,589.0,314.0
BATCH-00032,ARV-002,2025-03-09,2027-03-09,2025-03-26,12,Zambia,Truck,Hetero Unit III Hyderabad IN,72333,4957.0,15220.18
BATCH-00033,ARV-007,2025-04-21,2027-04-21,2025-06-22,6,Uganda,Air,"Aurobindo Unit III, India",192,11.0,1112.31
BATCH-00034,ARV-002,2026-01-18,2028-01-18,2026-02-16,14,Uganda,Air,"Aurobindo Unit III, India",10368,2127.0,10898.13
BATCH-00035,ARV-002,2025-04-01,2027-04-01,2025-06-09,20,Haiti,Air,Hetero Unit III Hyderabad IN,18750,111.0,12448.02
BATCH-00036,ARV-011,2026-02-28,2028-02-28,2026-03-14,8,Zimbabwe,Truck,Hetero Unit III Hyderabad IN,87667,11717.0,74740.8
BATCH-00037,HRDT-001,2025-11-28,2027-11-28,2025-12-30,19,Côte d'Ivoire,Air,"Alere Medical Co., Ltd.",2400,1043.0,20882.95
BATCH-00038,HRDT-012,2025-03-04,2027-03-04,2025-04-03,19,Côte d'Ivoire,Air,Bio-Rad Laboratories,476,522.0,6924.83
BATCH-00039,HRDT-001,2025-06-05,2027-06-05,2025-07-27,9,Zambia,Air,Inverness Japan,2807,1360.0,20067.34
BATCH-00040,ARV-003,2025-12-15,2027-12-15,2026-02-07,15,Cameroon,Air,"Aurobindo Unit III, India",38707,4926.0,40227.6
BATCH-00041,ARV-002,2025-07-22,2027-07-22,2025-08-26,4,Nigeria,Air Charter,"Aurobindo Unit III, India",34650,3934.0,20264.93
BATCH-00042,ARV-019,2025-03-05,2027-03-05,2025-04-17,25,Mozambique,Truck,ABBVIE (Abbott) Logis. UK,1358,387.0,2107.14
BATCH-00043,HRDT-004,2026-01-06,2028-01-06,2026-01-31,16,Côte d'Ivoire,Air,Chembio Diagnostics Sys. Inc.,3400,1252.0,10821.66
BATCH-00044,ARV-017,2025-10-16,2027-10-16,2025-12-06,15,Côte d'Ivoire,Truck,Mylan (formerly Matrix) Nashik,8640,979.0,4869.4
BATCH-00045,HRDT-001,2025-08-17,2027-08-17,2025-09-09,6,Kenya,Air,Inverness Japan,8586,1479.0,15519.77
BATCH-00046,ARV-007,2025-12-10,2027-12-10,2026-02-06,21,Côte d'Ivoire,Air,"Aurobindo Unit III, India",670,76.0,1921.02
BATCH-00047,ARV-009,2025-07-07,2027-07-07,2025-09-28,41,South Africa,Ocean,"Aurobindo Unit III, India",43280,4040.0,6121.42
BATCH-00048,ARV-002,2024-12-16,2026-12-16,2025-02-25,20,Tanzania,Air,"Aurobindo Unit III, India",11807,1802.0,3267.0
BATCH-00049,ARV-014,2025-06-19,2027-06-19,2025-08-06,16,Côte d'Ivoire,Air,"Aurobindo Unit III, India",2788,588.0,5121.68
BATCH-00050,ARV-003,2025-06-13,2027-06-13,2025-07-13,25,Uganda,Truck,Mylan (formerly Matrix) Nashik,6600,843.0,6470.51
BATCH-00051,ARV-015,2025-11-24,2027-11-24,2026-01-08,25,Tanzania,Truck,Mylan (formerly Matrix) Nashik,15027,1248.0,4529.5
BATCH-00052,ARV-016,2025-05-31,2027-05-31,2025-08-01,11,Zimbabwe,Truck,"Cipla, Goa, India",5800,12791.0,3833.17
